t (s),V (mV)
0,17.2039
1.05,17.1688
2.099,17.1381
3.101,17.1038
4.1,17.0698
5.101,17.0342
6.101,16.9975
7.1,16.9575
8.101,16.9208
9.101,16.8846
10.101,16.8475
11.1,16.8099
12.1,16.7718
13.1,16.734
14.101,16.6965
15.1,16.6585
16.101,16.6202
17.1,16.5828
18.101,16.544
19.1,16.5065
20.101,16.4693
21.101,16.4319
22.1,16.3949
23.1,16.3574
24.101,16.3203
25.1,16.2831
26.101,16.2465
27.1,16.2097
28.101,16.1742
29.1,16.1375
30.105,16.103
31.1,16.066
32.102,16.0314
33.101,15.9951
34.101,15.9599
35.1,15.9236
36.1,15.8882
37.101,15.8534
38.1,15.8183
39.101,15.7834
40.101,15.7488
41.101,15.714
42.105,15.6799
43.1,15.6448
44.101,15.6108
45.1,15.577
46.101,15.543
47.1,15.5092
48.105,15.4757
49.101,15.442
50.1,15.408
51.1,15.3746
52.101,15.3415
53.1,15.3074
54.1,15.2744
55.1,15.2404
56.101,15.2082
57.1,15.1762
58.101,15.1439
59.1,15.1114
60.101,15.0792
61.101,15.0474
62.1,15.0145
63.101,14.9827
64.1,14.9514
65.1,14.9196
66.1,14.8886
67.1,14.8569
68.101,14.8261
69.101,14.7941
70.101,14.7641
71.1,14.7319
72.1,14.7001
73.101,14.6694
74.1,14.6395
75.1,14.6091
76.101,14.5788
77.101,14.549
78.101,14.5192
79.1,14.4886
80.101,14.4593
81.1,14.4286
82.101,14.399
83.1,14.368
84.1,14.3384
85.101,14.3086
86.1,14.279
87.101,14.2503
88.1,14.2211
89.1,14.1923
90.101,14.1633
91.1,14.1343
92.101,14.1054
93.1,14.077
94.101,14.048
95.1,14.0186
96.101,13.9916
97.101,13.9641
98.1,13.9354
99.101,13.9087
100.1,13.8811
101.101,13.8535
102.101,13.8265
103.1,13.7985
104.101,13.7718
105.101,13.7443
106.1,13.715
107.1,13.684
108.101,13.6628
109.101,13.6357
110.1,13.609
111.101,13.5826
112.1,13.5562
113.1,13.529
114.105,13.5032
115.101,13.4781
116.1,13.4375
117.101,13.4044
118.101,13.3576
119.1,13.305
120.1,13.2579
121.1,13.2202
122.1,13.1878
123.1,13.1595
124.1,13.1332
125.101,13.107
126.101,13.0805
127.1,13.0547
