t (s),V (mV)
128.101,13.0292
129.1,13.003
130.101,12.979
131.1,12.9543
132.101,12.9287
133.1,12.9037
134.101,12.8778
135.1,12.8525
136.101,12.8281
137.1,12.8037
138.105,12.7796
139.1,12.7539
140.1,12.7293
141.1,12.705
142.101,12.6798
143.1,12.6556
144.105,12.6316
145.101,12.6071
146.1,12.5827
147.1,12.5591
148.101,12.5351
149.1,12.5114
150.101,12.4872
151.1,12.4636
152.1,12.4398
153.101,12.4154
154.101,12.3929
155.1,12.3684
156.1,12.3448
157.101,12.3214
158.1,12.298
159.101,12.2747
160.101,12.2508
161.1,12.2271
162.101,12.2036
163.101,12.1809
164.1,12.1574
165.101,12.1338
166.1,12.1109
167.101,12.0872
168.101,12.0646
169.1,12.042
170.1,12.0182
171.1,11.9963
172.101,11.9732
173.1,11.9498
174.101,11.9274
175.1,11.9039
176.1,11.8811
177.1,11.8578
178.1,11.8351
179.1,11.8126
180.101,11.7908
181.1,11.7673
182.101,11.7456
183.1,11.7219
184.1,11.6999
185.101,11.6775
186.1,11.6554
187.1,11.6329
188.101,11.6112
189.1,11.588
190.1,11.5663
191.101,11.5444
192.1,11.5219
193.1,11.4998
194.101,11.4778
195.1,11.4554
196.1,11.4334
197.101,11.4118
198.101,11.3895
199.1,11.3686
200.101,11.3469
201.101,11.3255
202.1,11.3029
203.101,11.2825
204.1,11.2611
205.101,11.2401
206.101,11.2192
207.101,11.1984
208.1,11.1776
209.101,11.1558
210.1,11.1351
211.1,11.1143
212.101,11.0933
213.1,11.0731
214.101,11.0519
215.1,11.0313
216.101,11.0111
217.101,10.9902
218.1,10.9703
219.1,10.9499
220.1,10.9288
221.1,10.9092
222.101,10.8887
223.1,10.8681
224.1,10.8486
225.101,10.8279
226.1,10.8085
227.101,10.7884
228.1,10.7687
229.101,10.7484
230.1,10.7287
231.1,10.7088
232.101,10.6893
233.1,10.6694
234.1,10.6492
235.1,10.6288
236.1,10.6099
237.099,10.5899
238.099,10.5704
239.1,10.551
240.099,10.5316
241.099,10.5123
242.099,10.4923
243.1,10.4725
244.099,10.4536
245.1,10.4339
246.1,10.4146
247.099,10.3953
248.1,10.3761
249.099,10.3572
250.1,10.3378
251.099,10.3192
252.099,10.2998
253.099,10.2805
254.099,10.2619
255.099,10.2428
256.099,10.2237
257.099,10.2056
258.099,10.1857
259.099,10.1678
260.099,10.1493
261.099,10.1305
262.099,10.1117
263.1,10.0929
264.1,10.0744
265.099,10.0558
266.1,10.0375
267.099,10.0197
268.099,10.0006
269.101,9.982
270.1,9.9636
271.1,9.9458
272.1,9.926
273.101,9.9077
274.1,9.8892
275.101,9.8714
276.1,9.8535
277.1,9.8354
278.101,9.8169
279.1,9.7999
280.101,9.7813
281.1,9.7632
282.103,9.7445
283.1,9.7278
284.101,9.7097
285.1,9.6925
286.101,9.6745
287.1,9.6567
288.105,9.6376
289.101,9.6216
290.1,9.6044
291.1,9.5869
292.101,9.5691
293.1,9.5521
294.101,9.5342
295.1,9.5169
296.101,9.4997
297.101,9.4824
298.1,9.4649
299.101,9.4477
300.1,9.4305
301.1,9.4128
302.101,9.3957
303.1,9.3788
304.1,9.3618
305.101,9.3443
306.1,9.3277
307.1,9.311
308.101,9.2937
309.1,9.277
310.101,9.2593
311.1,9.2428
312.105,9.2247
313.101,9.2098
314.1,9.1935
315.1,9.1771
316.101,9.1594
317.1,9.1421
318.1,9.1255
319.1,9.108
320.101,9.0916
321.101,9.071
322.1,9.054
323.1,9.0409
324.1,9.0267
325.1,9.0091
326.101,8.9924
327.1,8.9777
