t (s),V (mV)
0,29.4971
0.964,29.4485
1.929,29.396
2.93,29.3409
3.929,29.2841
4.929,29.2262
5.93,29.1695
6.93,29.1125
7.93,29.0545
8.93,28.9972
9.929,28.94
10.929,28.8821
11.929,28.8245
12.93,28.7675
13.929,28.7109
14.929,28.6528
15.93,28.5961
16.929,28.5392
17.929,28.4827
18.93,28.4264
19.93,28.3692
20.929,28.3135
21.93,28.2576
22.93,28.2012
23.929,28.1463
24.93,28.0909
25.929,28.0366
26.929,27.9813
27.929,27.9273
28.929,27.8727
29.93,27.8182
30.929,27.7646
31.93,27.7114
32.93,27.6582
33.929,27.6048
34.93,27.551
35.93,27.4997
36.93,27.4465
37.929,27.3947
38.93,27.342
39.93,27.2909
40.93,27.2403
41.929,27.1886
42.929,27.1379
43.929,27.0863
44.93,27.0357
45.929,26.9849
46.93,26.935
47.929,26.8846
48.93,26.8341
49.929,26.7846
50.93,26.7349
51.93,26.6854
52.93,26.6356
53.929,26.5876
54.93,26.5389
55.929,26.4901
56.929,26.4419
57.93,26.3935
58.929,26.3444
59.93,26.2972
60.929,26.2486
61.929,26.1996
62.929,26.1515
63.93,26.1035
64.929,26.0559
65.929,26.009
66.929,25.9618
67.93,25.9145
68.929,25.8675
69.93,25.8213
70.93,25.7741
71.929,25.7288
72.93,25.683
73.929,25.6366
74.93,25.5916
75.929,25.5453
76.93,25.4973
77.93,25.4509
78.929,25.4051
79.93,25.3606
80.93,25.3157
81.929,25.2712
82.93,25.2271
83.929,25.1826
84.93,25.1401
85.93,25.0954
86.929,25.0522
87.93,25.0082
88.93,24.9653
89.93,24.9213
90.929,24.8781
91.93,24.8357
92.929,24.7925
93.93,24.7494
94.929,24.707
95.93,24.6644
96.929,24.6218
97.93,24.58
98.929,24.5384
99.93,24.4964
100.929,24.4554
101.929,24.4139
102.93,24.3726
103.929,24.3313
104.93,24.2901
105.929,24.2497
106.929,24.2086
107.93,24.1669
108.93,24.1275
109.929,24.0873
110.93,24.0467
111.929,24.0075
112.93,23.9676
113.929,23.928
114.929,23.8878
115.929,23.8486
116.929,23.8094
117.929,23.77
118.929,23.731
119.929,23.6919
120.929,23.6538
121.93,23.6149
122.929,23.5762
123.929,23.5386
124.929,23.4997
125.93,23.4613
126.929,23.4242
127.93,23.3857
128.93,23.3466
129.929,23.3094
130.929,23.2717
131.93,23.2349
132.929,23.1966
133.93,23.1589
134.929,23.1217
135.93,23.0839
136.929,23.0473
137.93,23.0104
138.93,22.974
139.93,22.9376
140.929,22.9011
141.93,22.8648
142.929,22.8279
143.929,22.7922
144.93,22.7574
145.929,22.7219
146.93,22.6859
147.93,22.6496
148.929,22.6156
149.93,22.5793
150.93,22.5447
151.93,22.5103
152.929,22.4751
153.93,22.4396
154.93,22.4047
155.929,22.3701
156.93,22.3351
157.93,22.3013
158.929,22.2666
159.93,22.2326
160.93,22.199
161.929,22.1658
162.929,22.1326
163.93,22.0995
164.93,22.0669
165.93,22.0341
166.929,22.0017
167.929,21.9686
168.93,21.9361
169.93,21.9039
170.929,21.8705
171.93,21.8379
172.929,21.8051
173.93,21.7718
174.929,21.7399
175.93,21.7075
176.929,21.6761
177.93,21.6444
178.93,21.6123
179.929,21.5806
180.929,21.5499
181.93,21.5185
182.93,21.4864
183.929,21.4561
184.93,21.4253
185.929,21.3948
186.93,21.3639
187.929,21.3331
