t (s),V (mV)
188.93,21.3026
189.93,21.2723
190.93,21.2417
191.929,21.2117
192.929,21.1825
193.93,21.1517
194.93,21.1218
195.93,21.0921
196.929,21.0621
197.93,21.0315
198.929,21.0024
199.93,20.9735
200.93,20.9432
201.93,20.9137
202.929,20.8855
203.93,20.8556
204.929,20.8274
205.93,20.7988
206.929,20.7703
207.93,20.7412
208.929,20.7129
209.93,20.6839
210.929,20.656
211.93,20.6274
212.929,20.5986
213.93,20.5712
214.93,20.5425
215.93,20.5152
216.93,20.4879
217.93,20.4604
218.93,20.4329
219.93,20.4054
220.93,20.3777
221.929,20.3512
222.93,20.3233
223.93,20.2971
224.929,20.2702
225.93,20.2429
226.93,20.216
227.929,20.189
228.929,20.1637
229.93,20.1369
230.93,20.1099
231.93,20.0839
232.929,20.0576
233.929,20.0321
234.93,20.0053
235.93,19.9793
236.93,19.9533
237.929,19.9284
238.929,19.9021
239.93,19.877
240.929,19.8529
241.93,19.8271
242.93,19.8021
243.929,19.7761
244.93,19.7516
245.929,19.7259
246.93,19.7012
247.929,19.6763
248.93,19.6514
249.929,19.627
250.93,19.602
251.929,19.578
252.93,19.5542
253.93,19.5299
254.929,19.5057
255.93,19.4817
256.929,19.4581
257.93,19.4333
258.929,19.4097
259.93,19.3857
260.93,19.3613
261.929,19.3381
262.93,19.315
263.929,19.2922
264.929,19.269
265.93,19.2466
266.93,19.2227
267.93,19.2004
268.93,19.1774
269.93,19.1545
270.93,19.1319
271.929,19.1097
272.93,19.087
273.93,19.0643
274.929,19.0422
275.93,19.0203
276.929,18.9963
277.93,18.9744
278.929,18.9513
279.929,18.9294
280.93,18.9064
281.929,18.8846
282.93,18.8625
283.929,18.84
284.929,18.8175
285.929,18.7952
286.93,18.7736
287.929,18.7518
288.93,18.7294
289.929,18.7073
290.929,18.6849
291.93,18.6629
292.929,18.6412
293.93,18.6199
294.929,18.5978
295.93,18.5769
296.93,18.5555
297.929,18.5333
298.93,18.5123
299.929,18.4904
300.93,18.4699
301.93,18.4488
302.93,18.4278
303.929,18.4076
304.93,18.3862
305.93,18.3665
306.929,18.3455
307.929,18.3257
308.93,18.3057
309.929,18.2848
310.929,18.265
311.93,18.2437
312.93,18.2246
313.929,18.2041
314.93,18.1837
315.929,18.1632
316.93,18.1435
317.929,18.1235
318.929,18.1043
319.929,18.0838
320.93,18.0645
321.93,18.0452
322.93,18.0264
323.93,18.007
324.929,17.9882
325.93,17.97
326.929,17.9515
327.93,17.9314
328.929,17.9128
329.93,17.8932
330.929,17.8747
331.929,17.8544
332.93,17.8354
333.929,17.8173
334.93,17.7983
335.929,17.78
336.93,17.7606
337.929,17.7417
338.929,17.7231
339.93,17.7047
340.929,17.6868
341.929,17.6674
342.93,17.6492
343.93,17.6307
344.93,17.6126
345.929,17.5947
346.929,17.5765
347.93,17.5584
348.929,17.5399
349.929,17.5228
350.93,17.5049
351.93,17.487
352.93,17.4697
353.93,17.4524
354.929,17.4353
355.929,17.4177
356.93,17.4007
357.93,17.3825
358.929,17.3649
359.929,17.3475
360.93,17.3298
361.929,17.3135
362.929,17.296
363.93,17.2784
364.93,17.2614
365.929,17.245
366.929,17.2275
367.93,17.2107
368.929,17.1948
369.929,17.1785
370.93,17.1618
371.93,17.1447
372.93,17.1277
373.93,17.11
374.93,17.0945
375.929,17.078
376.93,17.0618
377.93,17.0449
378.929,17.0286
379.929,17.0127
380.93,16.9962
381.93,16.9804
382.929,16.9642
383.93,16.9479
384.93,16.932
385.929,16.9161
386.93,16.9003
387.929,16.8849
388.929,16.8694
389.929,16.8534
390.93,16.8374
391.93,16.8222
392.929,16.8061
393.929,16.7922
394.929,16.7762
395.93,16.7613
396.929,16.7462
397.93,16.73
398.929,16.7153
399.929,16.7011
400.929,16.6861
401.929,16.6714
402.929,16.6564
403.93,16.641
404.93,16.6265
405.929,16.612
406.93,16.5975
407.93,16.5824
408.929,16.5683
409.929,16.5533
410.93,16.5383
411.929,16.5239
412.93,16.5092
413.929,16.4953
414.93,16.4802
415.929,16.4661
416.93,16.4525
417.929,16.4381
418.93,16.4245
419.93,16.4097
420.929,16.3973
421.929,16.384
422.929,16.3698
423.929,16.3556
424.929,16.3427
425.93,16.3289
426.93,16.3151
427.929,16.302
428.929,16.2887
429.929,16.2756
430.93,16.262
431.93,16.2484
432.929,16.2346
433.929,16.221
434.929,16.2076
435.929,16.1946
436.93,16.1814
437.929,16.1677
438.929,16.155
439.929,16.1414
440.93,16.1289
441.929,16.116
442.929,16.1022
443.93,16.0889
444.929,16.0765
445.929,16.0633
446.93,16.0504
447.929,16.037
448.93,16.0236
449.929,16.0115
450.93,15.998
451.929,15.9852
452.93,15.9731
453.929,15.9603
454.93,15.9474
455.929,15.9351
456.93,15.922
457.929,15.9103
458.93,15.8973
459.929,15.8849
460.93,15.8716
461.929,15.8583
462.929,15.8464
463.93,15.8337
464.929,15.8214
465.929,15.8086
466.929,15.7968
467.93,15.7808
468.93,15.766
469.929,15.7534
470.929,15.7401
471.93,15.728
472.93,15.7154
473.93,15.7033
474.93,15.6909
475.93,15.6787
476.93,15.668
477.929,15.6561
478.93,15.6434
479.929,15.6321
480.929,15.6201
481.93,15.6078
482.929,15.5961
483.929,15.585
484.93,15.5736
485.929,15.5616
486.929,15.5504
487.93,15.539
488.93,15.5276
489.929,15.5168
490.929,15.5049
491.93,15.4936
492.929,15.4822
493.929,15.4715
494.929,15.4604
495.929,15.4496
496.93,15.4375
497.929,15.4285
498.93,15.4171
499.929,15.4051
500.93,15.3941
501.93,15.3843
502.929,15.3727
503.929,15.3622
