t (s),V (mV)
0,12.8309
1.05,12.792
2.066,12.7543
3.067,12.7153
4.066,12.6718
5.067,12.6291
6.067,12.589
7.067,12.5495
8.067,12.5078
9.067,12.4696
10.066,12.4306
11.066,12.3913
12.066,12.3535
13.067,12.3163
14.066,12.2787
15.067,12.2423
16.066,12.206
17.066,12.1695
18.067,12.1336
19.066,12.0979
20.067,12.0615
21.067,12.0255
22.066,11.9903
23.067,11.9553
24.066,11.9204
25.066,11.8853
26.066,11.8535
27.067,11.8192
28.066,11.7882
29.066,11.7585
30.066,11.74
31.066,11.7205
32.067,11.6953
33.067,11.6732
34.066,11.6485
35.067,11.62
36.066,11.5927
37.067,11.5656
38.066,11.5397
39.066,11.508
40.067,11.4794
41.067,11.4473
42.066,11.4168
43.067,11.3859
44.066,11.3552
45.067,11.3252
46.066,11.2931
47.067,11.2612
48.066,11.2285
49.067,11.1977
50.067,11.1661
51.066,11.1332
52.066,11.101
53.066,11.0695
54.067,11.0363
55.066,11.0034
56.067,10.9692
57.067,10.9383
58.067,10.905
59.066,10.8734
60.067,10.8415
61.066,10.8082
62.067,10.7771
63.067,10.7461
64.066,10.7162
65.067,10.6847
66.066,10.6545
67.067,10.6235
68.066,10.5912
69.066,10.5631
70.066,10.5327
71.065,10.5034
72.065,10.4734
73.065,10.4435
74.065,10.4142
75.066,10.386
76.065,10.3581
77.066,10.3297
78.065,10.3012
79.066,10.2721
80.065,10.2444
81.065,10.2157
82.066,10.1882
83.065,10.1579
84.065,10.1269
85.066,10.0989
86.066,10.0695
87.065,10.0406
88.065,10.0118
89.067,9.9876
90.066,9.9638
91.066,9.9358
92.066,9.9082
93.066,9.8806
94.067,9.8539
95.066,9.8228
96.066,9.7948
97.066,9.7655
98.066,9.7358
99.066,9.7106
100.067,9.683
101.067,9.6557
102.066,9.6337
103.067,9.6084
104.066,9.5828
105.066,9.5586
106.066,9.5389
107.066,9.516
108.066,9.4977
109.067,9.4771
110.067,9.4554
111.066,9.4358
112.067,9.4147
113.066,9.3928
114.066,9.3677
115.066,9.3469
116.066,9.324
117.066,9.3002
118.066,9.2765
119.067,9.2524
120.067,9.2319
121.066,9.2083
122.066,9.1859
123.066,9.1626
124.066,9.1394
125.066,9.116
126.067,9.0938
127.066,9.071
128.067,9.0469
129.066,9.0238
130.066,8.9989
131.067,8.9784
132.066,8.9524
133.066,8.9308
134.067,8.907
135.066,8.8833
136.067,8.859
137.066,8.8315
138.067,8.8067
139.067,8.7824
140.066,8.7598
141.067,8.7391
142.066,8.7199
143.066,8.6969
144.067,8.6729
145.066,8.6467
146.066,8.6231
147.066,8.6016
148.066,8.5788
149.067,8.5568
150.066,8.5325
151.066,8.5094
152.066,8.4866
153.066,8.4617
154.066,8.4373
155.067,8.4137
156.066,8.3904
157.067,8.3671
158.066,8.3434
159.067,8.3212
160.066,8.2989
161.067,8.2755
162.066,8.2538
163.066,8.2294
164.067,8.2041
165.066,8.1817
166.067,8.1577
167.067,8.1332
168.066,8.1079
169.066,8.0854
170.067,8.0611
171.066,8.0378
172.066,8.0179
173.066,7.9939
174.067,7.9727
175.067,7.9506
176.066,7.9276
177.067,7.9082
178.066,7.8862
179.067,7.8647
180.066,7.8417
181.067,7.8189
182.066,7.7948
183.067,7.7727
184.066,7.7502
185.067,7.73
186.066,7.7065
187.066,7.6808
188.066,7.661
189.067,7.6413
190.067,7.6185
191.066,7.5973
192.066,7.5721
193.066,7.55
194.066,7.5275
195.067,7.5058
196.066,7.4873
197.066,7.4661
198.066,7.4468
199.067,7.427
200.066,7.4027
201.067,7.3841
202.066,7.3606
203.067,7.3382
204.066,7.3133
205.066,7.292
206.066,7.2686
207.066,7.2441
208.066,7.2221
209.066,7.1992
210.067,7.1783
211.066,7.156
212.067,7.1348
213.066,7.1116
214.067,7.0907
215.066,7.0692
216.066,7.0498
217.066,7.0279
218.066,7.0078
219.067,6.987
220.067,6.9635
221.067,6.943
222.067,6.9217
223.067,6.8996
224.067,6.8802
225.066,6.8592
226.066,6.8365
227.067,6.8149
