t (s),V (mV)
0,17.5502
1.05,17.513
2.067,17.4764
3.067,17.437
4.066,17.3957
5.067,17.3536
6.066,17.3114
7.067,17.2696
8.066,17.2279
9.066,17.1849
10.067,17.141
11.066,17.0993
12.066,17.0562
13.067,17.0133
14.066,16.9707
15.067,16.9277
16.066,16.8853
17.067,16.8426
18.067,16.8004
19.066,16.7589
20.066,16.7174
21.067,16.6752
22.066,16.6343
23.066,16.5927
24.066,16.5518
25.066,16.5103
26.066,16.4705
27.066,16.4304
28.067,16.3894
29.067,16.3487
30.066,16.3089
31.067,16.269
32.066,16.2302
33.066,16.1911
34.066,16.1509
35.067,16.1115
36.066,16.0727
37.066,16.0336
38.072,15.9924
39.066,15.9561
40.067,15.9166
41.067,15.8779
42.066,15.8408
43.067,15.8035
44.067,15.7664
45.066,15.7293
46.066,15.6918
47.067,15.6557
48.066,15.6367
49.088,15.5943
50.074,15.5542
51.067,15.5173
52.066,15.4803
53.067,15.4427
54.067,15.405
55.066,15.3678
56.067,15.3301
57.067,15.294
58.066,15.257
59.067,15.2215
60.067,15.1857
61.066,15.1503
62.066,15.1144
63.067,15.0782
64.067,15.0427
65.067,15.0075
66.067,14.9714
67.066,14.9361
68.071,14.8992
69.066,14.8662
70.067,14.8323
71.066,14.7967
72.066,14.7621
73.066,14.7281
74.071,14.6905
75.067,14.6577
76.067,14.6236
77.066,14.589
78.066,14.5542
79.067,14.5196
80.067,14.5701
81.066,14.5363
82.067,14.5029
83.066,14.4701
84.067,14.4366
85.067,14.4041
86.066,14.3723
87.067,14.3392
88.066,14.3124
89.066,14.2813
90.067,14.2494
91.066,14.2177
92.066,14.1864
93.066,14.1544
94.067,14.1219
95.066,14.0905
96.067,14.0584
97.066,14.0269
98.071,13.9927
99.066,13.9645
100.066,13.9337
101.067,13.9022
102.066,13.871
103.066,13.8401
104.066,13.8097
105.067,13.7792
106.066,13.7475
107.067,13.7174
108.066,13.6876
109.066,13.6573
110.071,13.6295
111.066,13.5975
112.067,13.5669
113.067,13.5379
114.067,13.5085
115.067,13.4782
116.071,13.45
117.067,13.419
118.067,13.3897
119.066,13.3605
120.066,13.3311
121.066,13.3023
122.067,13.273
123.067,13.2449
124.066,13.2158
125.067,13.1875
126.067,13.1589
127.066,13.1307
128.071,13.1036
129.067,13.0738
130.066,13.0465
131.067,13.0189
132.066,12.9908
133.067,12.9631
134.066,12.9349
135.067,12.9072
136.066,12.8801
137.067,12.8524
138.066,12.8261
139.066,12.798
140.067,12.7704
141.066,12.7435
142.066,12.7156
143.067,12.6882
144.066,12.6618
145.067,12.6343
146.071,12.6064
147.067,12.5802
148.066,12.5537
149.067,12.5261
150.066,12.4991
151.067,12.4715
152.067,12.4438
153.066,12.4166
154.066,12.3896
155.067,12.3635
156.067,12.3361
157.066,12.3085
158.067,12.2811
159.067,12.2545
160.067,12.2283
161.066,12.2013
162.067,12.176
163.066,12.149
164.066,12.1223
165.067,12.0968
166.067,12.0708
167.066,12.0446
168.066,12.0182
169.066,11.9924
170.067,11.9654
171.067,11.9399
172.067,11.9134
173.066,11.8873
174.066,11.8617
175.067,11.8354
176.066,11.8093
177.066,11.7839
178.067,11.759
179.066,11.7344
180.066,11.7085
181.067,11.6839
182.066,11.6591
183.067,11.6343
184.067,11.6098
185.066,11.5854
186.066,11.5611
187.066,11.5375
188.071,11.5149
189.066,11.4898
190.067,11.466
191.066,11.4424
192.066,11.4188
193.067,11.3956
194.066,11.3728
195.067,11.3489
196.066,11.326
197.066,11.3031
198.067,11.28
199.066,11.2585
200.067,11.2352
201.066,11.2131
202.067,11.1905
203.066,11.168
204.067,11.1451
205.066,11.123
206.067,11.1
207.067,11.0775
208.066,11.0543
209.067,11.0318
210.066,11.01
211.066,10.9867
212.067,10.9649
213.067,10.9422
214.067,10.9202
215.067,10.8973
216.067,10.8754
217.066,10.8525
218.066,10.8308
219.066,10.8089
220.066,10.7868
221.066,10.7648
222.067,10.744
223.066,10.7219
224.067,10.7003
225.066,10.6783
226.067,10.6568
227.066,10.6352
228.066,10.6132
229.066,10.5915
230.07,10.5694
231.065,10.5502
232.065,10.5279
233.066,10.5068
234.065,10.4851
235.065,10.4643
236.07,10.4422
237.066,10.4221
238.065,10.4019
239.065,10.38
240.065,10.359
241.066,10.3377
242.065,10.3165
243.066,10.2961
244.066,10.2752
245.066,10.2546
246.065,10.2336
247.066,10.2124
248.065,10.1917
249.066,10.1711
250.065,10.1503
251.065,10.1298
252.066,10.109
253.065,10.0883
254.066,10.0677
255.065,10.0472
256.066,10.0261
257.065,10.0052
258.067,9.9846
259.067,9.9642
260.071,9.9427
261.067,9.9225
262.066,9.9012
263.066,9.881
264.067,9.8616
265.066,9.8419
266.067,9.8221
267.067,9.8011
268.066,9.7817
269.066,9.761
270.066,9.7406
271.066,9.7218
272.066,9.7032
273.066,9.6831
274.066,9.6622
275.067,9.6435
276.066,9.6229
277.066,9.604
278.071,9.5852
279.067,9.5645
280.066,9.5443
281.066,9.5258
282.067,9.506
283.066,9.4859
284.071,9.4679
285.066,9.4471
286.067,9.4284
287.067,9.4088
288.066,9.3899
289.067,9.3705
290.067,9.351
291.066,9.3326
292.067,9.3139
293.066,9.2954
294.066,9.277
295.066,9.2578
296.071,9.2427
297.067,9.222
298.067,9.2026
299.066,9.1846
300.067,9.1667
301.067,9.1473
302.066,9.1294
303.066,9.1113
304.067,9.0934
305.066,9.0752
306.066,9.056
307.066,9.0379
308.066,9.0191
309.067,9.0014
310.066,8.984
311.066,8.9639
312.066,8.9477
313.066,8.9311
